step,w,k,output_code,dict_index,dict_symbol
1,L,o,76,256,Lo
2,o,r,111,257,or
3,r,e,114,258,re
4,e,m,101,259,em
5,m, ,109,260,m 
6, ,I,32,261, I
7,I,p,73,262,Ip
8,p,s,112,263,ps
9,s,u,115,264,su
10,u,m,117,265,um
11,m ,i,260,266,m i
12,i,s,105,267,is
13,s, ,115,268,s 
14, ,s,32,269, s
15,s,i,115,270,si
16,i,m,105,271,im
17,m,p,109,272,mp
18,p,l,112,273,pl
19,l,y,108,274,ly
20,y, ,121,275,y 
21, ,d,32,276, d
22,d,u,100,277,du
23,um,m,265,278,umm
24,m,y,109,279,my
25,y ,t,275,280,y t
26,t,e,116,281,te
27,e,x,101,282,ex
28,x,t,120,283,xt
29,t, ,116,284,t 
30, ,o,32,285, o
31,o,f,111,286,of
32,f, ,102,287,f 
33, ,t,32,288, t
34,t,h,116,289,th
35,h,e,104,290,he
36,e, ,101,291,e 
37, ,p,32,292, p
38,p,r,112,293,pr
39,r,i,114,294,ri
40,i,n,105,295,in
41,n,t,110,296,nt
42,t,i,116,297,ti
43,in,g,295,298,ing
44,g, ,103,299,g 
45, ,a,32,300, a
46,a,n,97,301,an
47,n,d,110,302,nd
48,d, ,100,303,d 
49, t,y,288,304, ty
50,y,p,121,305,yp
51,p,e,112,306,pe
52,e,s,101,307,es
53,s,e,115,308,se
54,e,t,101,309,et
55,t,t,116,310,tt
56,ti,n,297,311,tin
57,n,g,110,312,ng
58,g ,i,299,313,g i
59,in,d,295,314,ind
60,du,s,277,315,dus
61,s,t,115,316,st
62,t,r,116,317,tr
63,r,y,114,318,ry
64,y,.,121,319,y.
65,., ,46,320,. 
66, ,L,32,321, L
67,Lo,r,256,322,Lor
68,re,m,258,323,rem
69,m ,I,260,324,m I
70,Ip,s,262,325,Ips
71,su,m,264,326,sum
72,m ,h,260,327,m h
73,h,a,104,328,ha
74,a,s,97,329,as
75,s ,b,268,330,s b
76,b,e,98,331,be
77,e,e,101,332,ee
78,e,n,101,333,en
79,n, ,110,334,n 
80, t,h,288,335, th
81,he, ,290,336,he 
82, ,i,32,337, i
83,ind,u,314,338,indu
84,u,s,117,339,us
85,st,r,316,340,str
86,ry,',318,341,ry'
87,',s,39,342,'s
88,s ,s,268,343,s s
89,st,a,316,344,sta
90,an,d,301,345,and
91,d,a,100,346,da
92,a,r,97,347,ar
93,r,d,114,348,rd
94,d ,d,303,349,d d
95,du,m,277,350,dum
96,m,m,109,351,mm
97,my, ,279,352,my 
98, t,e,288,353, te
99,ex,t,282,354,ext
100,t ,e,284,355,t e
101,e,v,101,356,ev
102,v,e,118,357,ve
103,e,r,101,358,er
104,r, ,114,359,r 
105, s,i,269,360, si
106,in,c,295,361,inc
107,c,e,99,362,ce
108,e ,t,291,363,e t
109,th,e,289,364,the
110,e ,1,291,365,e 1
111,1,5,49,366,15
112,5,0,53,367,50
113,0,0,48,368,00
114,0,s,48,369,0s
115,s,",",115,370,"s,"
116,",", ,44,371,", "
117, ,w,32,372, w
118,w,h,119,373,wh
119,he,n,290,374,hen
120,n ,a,334,375,n a
121,an, ,301,376,an 
122, ,u,32,377, u
123,u,n,117,378,un
124,n,k,110,379,nk
125,k,n,107,380,kn
126,n,o,110,381,no
127,o,w,111,382,ow
128,w,n,119,383,wn
129,n ,p,334,384,n p
130,pr,i,293,385,pri
131,in,t,295,386,int
132,te,r,281,387,ter
133,r ,t,359,388,r t
134,t,o,116,389,to
135,o,o,111,390,oo
136,o,k,111,391,ok
137,k, ,107,392,k 
138, a, ,300,393, a 
139, ,g,32,394, g
140,g,a,103,395,ga
141,a,l,97,396,al
142,l,l,108,397,ll
143,l,e,108,398,le
144,e,y,101,399,ey
145,y ,o,275,400,y o
146,of, ,286,401,of 
147, ty,p,304,402, typ
148,pe, ,306,403,pe 
149, a,n,300,404, an
150,nd, ,302,405,nd 
151, s,c,269,406, sc
152,c,r,99,407,cr
153,r,a,114,408,ra
154,a,m,97,409,am
155,m,b,109,410,mb
156,b,l,98,411,bl
157,le,d,398,412,led
158,d ,i,303,413,d i
159,i,t,105,414,it
160,t ,t,284,415,t t
161,to, ,389,416,to 
162, ,m,32,417, m
163,m,a,109,418,ma
164,a,k,97,419,ak
165,k,e,107,420,ke
166,e ,a,291,421,e a
167,a, ,97,422,a 
168, typ,e,402,423, type
169,e ,s,291,424,e s
170,s,p,115,425,sp
171,pe,c,306,426,pec
172,c,i,99,427,ci
173,im,e,271,428,ime
174,en, ,333,429,en 
175, ,b,32,430, b
176,b,o,98,431,bo
177,oo,k,390,432,ook
178,k,.,107,433,k.
179,. ,I,320,434,. I
180,I,t,73,435,It
181,t ,h,284,436,t h
182,ha,s,328,437,has
183,s s,u,343,438,s su
184,u,r,117,439,ur
185,r,v,114,440,rv
186,v,i,118,441,vi
187,i,v,105,442,iv
188,ve,d,357,443,ved
189,d ,n,303,444,d n
190,no,t,381,445,not
191,t ,o,284,446,t o
192,o,n,111,447,on
193,n,l,110,448,nl
194,ly, ,274,449,ly 
195, ,f,32,450, f
196,f,i,102,451,fi
197,iv,e,442,452,ive
198,e ,c,291,453,e c
199,ce,n,362,454,cen
200,nt,u,296,455,ntu
201,ur,i,439,456,uri
202,i,e,105,457,ie
203,es,",",307,458,"es,"
204,", ",b,371,459,", b"
205,b,u,98,460,bu
206,u,t,117,461,ut
207,t ,a,284,462,t a
208,al,s,396,463,als
209,s,o,115,464,so
210,o, ,111,465,o 
211, th,e,335,466, the
212,e ,l,291,467,e l
213,le,a,398,468,lea
214,a,p,97,469,ap
215,p, ,112,470,p 
216, i,n,337,471, in
217,nt,o,296,472,nto
218,o ,e,465,473,o e
219,e,l,101,474,el
220,le,c,398,475,lec
221,c,t,99,476,ct
222,tr,o,317,477,tro
223,on,i,447,478,oni
224,i,c,105,479,ic
225,c, ,99,480,c 
226, type,s,423,481, types
227,se,t,308,482,set
228,tt,i,310,483,tti
229,ing,",",298,484,"ing,"
230,", ",r,371,485,", r"
231,rem,a,323,486,rema
232,a,i,97,487,ai
233,in,i,295,488,ini
234,ing, ,298,489,ing 
235, ,e,32,490, e
236,es,s,307,491,ess
237,se,n,308,492,sen
238,nt,i,296,493,nti
239,i,a,105,494,ia
240,al,l,396,495,all
241,ly ,u,449,496,ly u
242,un,c,378,497,unc
243,c,h,99,498,ch
244,ha,n,328,499,han
245,ng,e,312,500,nge
246,e,d,101,501,ed
247,d,.,100,502,d.
248,. I,t,434,503,. It
249,t ,w,284,504,t w
250,w,a,119,505,wa
251,as, ,329,506,as 
252, p,o,292,507, po
253,o,p,111,508,op
254,p,u,112,509,pu
255,u,l,117,510,ul
256,l,a,108,511,la
257,ar,i,347,512,ari
258,is,e,267,513,ise
259,ed, ,501,514,ed 
260, in, ,471,515, in 
261, the, ,466,516, the 
262, ,1,32,517, 1
263,1,9,49,518,19
264,9,6,57,519,96
265,6,0,54,520,60
266,0s, ,369,521,0s 
267, w,i,372,522, wi
268,it,h,414,523,ith
269,h, ,104,524,h 
270, the ,r,516,525, the r
271,re,l,258,526,rel
272,lea,s,468,527,leas
273,se, ,308,528,se 
274, o,f,285,529, of
275,f ,L,287,530,f L
276,L,e,76,531,Le
277,et,r,309,532,etr
278,ra,s,408,533,ras
279,set, ,482,534,set 
280, s,h,269,535, sh
281,he,e,290,536,hee
282,et,s,309,537,ets
283,s ,c,268,538,s c
284,c,o,99,539,co
285,on,t,447,540,ont
286,t,a,116,541,ta
287,ai,n,487,542,ain
288,n,i,110,543,ni
289,ing ,L,489,544,ing L
290,Lor,e,322,545,Lore
291,em, ,259,546,em 
292, I,p,261,547, Ip
293,ps,u,263,548,psu
294,um, ,265,549,um 
295, p,a,292,550, pa
296,as,s,329,551,ass
297,s,a,115,552,sa
298,a,g,97,553,ag
299,g,e,103,554,ge
300,"es,", ,458,555,"es, "
301, an,d,404,556, and
302,d ,m,303,557,d m
303,m,o,109,558,mo
304,or,e,257,559,ore
305,e ,r,291,560,e r
306,re,c,258,561,rec
307,cen,t,454,562,cent
308,t,l,116,563,tl
309,ly ,w,449,564,ly w
310,w,i,119,565,wi
311,ith, ,523,566,ith 
312, d,e,276,567, de
313,es,k,307,568,esk
314,k,t,107,569,kt
315,to,p,389,570,top
316,p ,p,470,571,p p
317,pu,b,509,572,pub
318,bl,i,411,573,bli
319,is,h,267,574,ish
320,h,i,104,575,hi
321,ing ,s,489,576,ing s
322,so,f,464,577,sof
323,f,t,102,578,ft
324,t,w,116,579,tw
325,wa,r,505,580,war
326,re, ,258,581,re 
327, ,l,32,582, l
328,l,i,108,583,li
329,i,k,105,584,ik
330,ke, ,420,585,ke 
331, ,A,32,586, A
332,A,l,65,587,Al
333,l,d,108,588,ld
334,dus, ,315,589,dus 
335, ,P,32,590, P
336,P,a,80,591,Pa
337,ag,e,553,592,age
338,e,M,101,593,eM
339,M,a,77,594,Ma
340,ak,e,419,595,ake
341,er, ,358,596,er 
342, in,c,471,597, inc
343,c,l,99,598,cl
344,l,u,108,599,lu
345,u,d,117,600,ud
346,d,i,100,601,di
347,ing ,v,489,602,ing v
348,ve,r,357,603,ver
349,r,s,114,604,rs
350,si,o,270,605,sio
351,on,s,447,606,ons
